id,video_id,segment_id,watch_url,start_time,end_time,content,embedding,created_at,metadata
c01cba2e-07c9-4cb1-aa5d-e97548673435,iKKqOsAgCTg,0,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=0,00:00.0,00:04.1,"Now that we have examined how the Big Bang theory has evolved, mapping out the web of",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=0""},""source"":""youtube_transcript"",""segment"":{""id"":0,""timeframe"":""00:00:0.00-00:00:4.12""}}"
614d8309-97a6-4d42-8ace-75504f7c9c97,iKKqOsAgCTg,1,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=4,00:04.1,00:09.0,"inferred evidence, models and actual observations, we will turn our attention to breaking down",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=4""},""source"":""youtube_transcript"",""segment"":{""id"":1,""timeframe"":""00:00:4.12-00:00:9.00""}}"
27f0d1b0-acee-46e8-b95d-7b2dfbbdea22,iKKqOsAgCTg,2,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=9,00:09.0,00:13.3,different components of the model. In this episode we will tackle the concept of the,,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=9""},""source"":""youtube_transcript"",""segment"":{""id"":2,""timeframe"":""00:00:9.00-00:00:13.32""}}"
c5d98863-c573-4ec2-99fb-3c5bf0a76bef,iKKqOsAgCTg,3,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=13,00:13.3,00:18.6,expansion of space and the key evidence supporting it.,,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=13""},""source"":""youtube_transcript"",""segment"":{""id"":3,""timeframe"":""00:00:13.32-00:00:18.60""}}"
05788cbb-e221-4b85-b892-fca280b6f0ee,iKKqOsAgCTg,4,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=18,00:18.6,00:23.3,"When discussing the expansion of space, it is important to note that while this idea",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=18""},""source"":""youtube_transcript"",""segment"":{""id"":4,""timeframe"":""00:00:18.60-00:00:23.32""}}"
eb9ae950-f187-4777-be55-270ae9548a1d,iKKqOsAgCTg,5,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=23,00:23.3,00:28.4,"is often associated with Einsteins general relativity, the concept of expansion does",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=23""},""source"":""youtube_transcript"",""segment"":{""id"":5,""timeframe"":""00:00:23.32-00:00:28.44""}}"
15f3be05-fa13-4d6a-98be-c3453aa91396,iKKqOsAgCTg,6,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=28,00:28.4,00:34.1,not explicitly arise from the theory itself. General relativity provides a framework that,,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=28""},""source"":""youtube_transcript"",""segment"":{""id"":6,""timeframe"":""00:00:28.44-00:00:34.10""}}"
e3202e63-ae25-4b3a-9209-6c12205d3601,iKKqOsAgCTg,7,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=34,00:34.1,00:39.0,"describes how matter and energy influence the geometry of space-time, but whether the",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=34""},""source"":""youtube_transcript"",""segment"":{""id"":7,""timeframe"":""00:00:34.10-00:00:39.00""}}"
214625eb-62ba-45f9-9df0-d80430020543,iKKqOsAgCTg,8,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=39,00:39.0,00:44.0,"universe is static, expanding or contracting depends on specific solutions to Einsteins",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=39""},""source"":""youtube_transcript"",""segment"":{""id"":8,""timeframe"":""00:00:39.00-00:00:44.00""}}"
337e95fa-49d1-4bde-aec5-26c04cc40c40,iKKqOsAgCTg,9,https://www.youtube.com/watch?v=iKKqOsAgCTg&t=44,00:44.0,00:50.4,"field equations. Initially, Einstein believed in a static universe. In 1917, he introduced",,2024-11-11 22:00:11.727+00,"{""video"":{""id"":""iKKqOsAgCTg"",""url"":""https://www.youtube.com/watch?v=iKKqOsAgCTg&t=44""},""source"":""youtube_transcript"",""segment"":{""id"":9,""timeframe"":""00:00:44.00-00:00:50.44""}}"
